@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute t0_avg numeric
@attribute t1_avg numeric
@attribute t2_avg numeric
@attribute t3_avg numeric
@attribute a0_avg numeric
@attribute a1_avg numeric
@attribute a2_avg numeric
@attribute a3_avg numeric
@attribute b0_avg numeric
@attribute b1_avg numeric
@attribute b2_avg numeric
@attribute b3_avg numeric
@attribute g0_avg numeric
@attribute g1_avg numeric
@attribute g2_avg numeric
@attribute g3_avg numeric
@attribute mood {0,1,2,3}
@attribute facialExpression {0,1,2,3}

@data
1,'2018/08/17 15:39:13:875',2,-0.139871,0.155733,0.166415,0.150459,0.699045,0.421283,0.054204,0.765428,0.222712,-0.018683,-0.060712,0.314085,0.123668,-0.193555,-0.023252,0.156185,1,1
2,'2018/08/17 15:39:13:892',4,-0.142571,0.152264,0.164966,0.150999,0.705847,0.421982,0.053969,0.779798,0.224137,-0.021269,-0.061146,0.315573,0.12616,-0.193018,-0.023664,0.159368,1,1
3,'2018/08/17 15:39:13:908',6,-0.145074,0.144179,0.161533,0.152351,0.725145,0.421921,0.052939,0.805024,0.227103,-0.025395,-0.062933,0.317899,0.13033,-0.191582,-0.025594,0.164826,1,1
4,'2018/08/17 15:39:13:925',8,-0.144876,0.139563,0.159549,0.153162,0.737642,0.42116,0.052144,0.81588,0.228644,-0.026934,-0.064287,0.318737,0.132008,-0.190684,-0.027112,0.167101,1,1
5,'2018/08/17 15:39:13:942',10,-0.144679,0.134947,0.157565,0.153973,0.750138,0.4204,0.05135,0.826736,0.230185,-0.028473,-0.06564,0.319575,0.133686,-0.189785,-0.028631,0.169375,1,1
6,'2018/08/17 15:39:13:958',12,-0.144481,0.130331,0.155581,0.154784,0.772767,0.417345,0.044734,0.844381,0.231726,-0.030012,-0.066994,0.320413,0.135364,-0.188887,-0.030149,0.17165,1,1
7,'2018/08/17 15:39:13:975',14,-0.141407,0.120623,0.151454,0.155466,0.795396,0.41429,0.038118,0.862027,0.234502,-0.031294,-0.070749,0.321187,0.137578,-0.186837,-0.033962,0.175067,1,1
8,'2018/08/17 15:39:13:992',16,-0.138334,0.110915,0.147326,0.156148,0.818025,0.411236,0.031502,0.879672,0.237278,-0.032575,-0.074504,0.321961,0.139792,-0.184788,-0.037775,0.178485,1,1
9,'2018/08/17 15:39:14:008',18,-0.13526,0.101206,0.143199,0.15683,0.840654,0.408181,0.024886,0.897317,0.240055,-0.033857,-0.078259,0.322736,0.142006,-0.182738,-0.041587,0.181902,1,1
10,'2018/08/17 15:39:14:024',20,-0.132187,0.091498,0.139072,0.157512,0.863283,0.405126,0.01827,0.914962,0.242831,-0.035138,-0.082014,0.32351,0.144219,-0.180688,-0.0454,0.185319,1,1
